공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택 
뷰티전문앱 맨들맨들 벡앤드개발/디자인/마케터/영업관리 모집,(주)유에스티,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44021514&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 화성시 ,상시채용,"['경력무관', '고졸↑']","['백엔드/서버개발', ' 영업관리', ' 웹디자인', ' 마케팅', ' 영업 ']"
"연구소 개발 신입/경력채용(SDN,백엔드,서비스UI/UX,임베디드)",(주)에스비정보기술,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44111726&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 의왕시 ,~ 11/29(화),"['신입·경력', '초대졸↑']","['백엔드/서버개발', ' 앱개발', ' 네트워크', ' Java', ' RestAPI ']"
"[웹개발] PHP, JAVA 웹 개발자 프로그래머",(주)한울아이티,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41479973&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 1~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 퍼블리셔', ' 프론트엔드', ' DBA ']"
서버개발팀 Back-End 개발자,엔에이치엔에듀(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41394048&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 5~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
든든(DNDN) 백엔드 개발자,업라이즈(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42898484&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
든든(DNDN) DevOps/보안담당 개발자,업라이즈(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42898713&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~10년', '대졸↑']","['백엔드/서버개발', ' 보안컨설팅', ' 웹개발', ' 정보보안', ' CISO ']"
[센텀인터넷] - 용인연구소 java 신입/경력 개발자 모집,(주)센텀인터넷,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43966898&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 용인시 수지구 ,채용시,"['신입', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' Java', ' Python', ' DBMS ']"
웹개발자 신입/경력 채용,파콤 주식회사,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44038328&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 수원시 장안구 ,~ 11/20(일),"['신입·경력', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' 네트워크', ' AR(증강현실) ']"
[망포] 개발 및 기획 담당자 (경력 3년 이상) 채용,굿어스스마트솔루션(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44176310&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 수원시 영통구 ,~ 10/30(일),"['경력3년↑', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Windows', ' AWS ']"
[NHN Edu] Back-End 개발(상시 채용),엔에이치엔에듀 주식회사 (NHN Edu Corp.),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44180722&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,채용시,"['경력5년↑', '학력무관']","['백엔드/서버개발', ' API', ' Java', ' Linux', ' MongoDB ']"
백엔드 개발자(JAVA),(주)메디에이지,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41539433&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~15년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' DBA', ' 인프라', ' AWS ']"
[위메이드 전기아이피] 백엔드 개발,(주)위메이드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42409706&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 3~13년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Java', ' RestAPI ']"
웹 백엔드/개발자 모집,(주)아정네트웍스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41668772&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~10년', '고졸↑']","['백엔드/서버개발', ' 웹개발', ' DBA', ' SE(시스템엔지니어)', ' Apache ']"
NILE 플랫폼 백엔드 개발자,(주)위메이드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42079772&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 5~15년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' Spring', ' SpringBoot', ' 모델링 ']"
웹 풀스택 개발자 채용,(주)지엔아이티,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40580331&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' SE(시스템엔지니어)', ' Java ']"
플랫폼 개발자 모집,(주)비트코퍼레이션,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41750202&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~7년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' DBA', ' 인프라', ' AWS ']"
백오피스 백엔드 개발자,(주)위메이드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43082818&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 3~13년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' 블록체인', ' GoLang ']"
[경력]웹개발자 채용,(주)시큐러스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43762424&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 용인시 기흥구 ,채용시,"['경력', '초대졸↑']","['웹개발', ' Java', ' JSP', ' Spring', ' SI·시스템통합 ']"
사내 경영정보 시스템 개발 및 운영(시니어),(주)위메이드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43774072&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 8~15년', '학력무관']","['웹개발', ' DBA', ' SE(시스템엔지니어)', ' 인프라', ' DevOps ']"
Java 백엔드 개발자,(주)엑슨투,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43871086&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~5년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
클라우드 딜리버리팀,(주)엑슨투,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43870195&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~5년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' SE(시스템엔지니어)', ' 인프라', ' 클라우드 ']"
빅데이터 플랫폼 개발자,(주)엑슨투,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43871064&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~8년', '학력무관']","['웹개발', ' 퍼블리셔', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
웹 개발자/연구원 모집(서울·경기),더스카이랩(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43877902&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 안양시 만안구 ,~ 10/29(토),"['경력무관', '초대졸↑']","['웹개발', ' MyBatis', ' RestAPI', ' SpringBoot', ' 빅데이터 ']"
사내 경영정보 시스템 개발 및 운영(미들급),(주)위메이드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43774088&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 3~5년', '학력무관']","['웹개발', ' DBA', ' SE(시스템엔지니어)', ' 인프라', ' DevOps ']"
웹 개발자/연구원 모집(경력4년이상)(서울·경기),더스카이랩(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43877886&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 안양시 만안구 ,~ 10/29(토),"['경력무관', '초대졸↑']","['웹개발', ' MyBatis', ' RestAPI', ' SpringBoot', ' 빅데이터 ']"
2022년 물류자동화 솔루션 경력 개발자 채용,(주)알티올,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44112770&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,인천 연수구 ,채용시,"['경력 1~5년', '학력무관']","['S/W', ' 솔루션', ' API', ' 아키텍쳐', ' C# ']"
백엔드 신입 및 경력 채용,(주)와이즈에이아이,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41133494&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['신입·경력', '학력무관']","['데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 웹개발', ' 데이터마이닝 ']"
[스튜디오 G] 백엔드 개발자,(주)스튜디오갈릴레이,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42728676&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
Front-end Developer (프론트엔드 개발자),(주)쏘마,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42769797&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~10년', '학력무관']","['웹개발', ' 퍼블리셔', ' 프론트엔드', ' 반응형웹', ' 웹표준·웹접근성 ']"
"자율주행, 동적지도 전문가 및 개발자(Autonomous Vehicle, Dynamic Map Experts/Developers)",(주)베스텔라랩,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43327871&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 2~15년', '초대졸↑']","['데이터분석가', ' 백엔드/서버개발', ' 앱개발', ' 웹개발', ' 딥러닝 ']"
[베스텔라랩] 리드개발자,(주)베스텔라랩,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43432071&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 7~10년', '초대졸↑']","['웹개발', ' 퍼블리셔', ' 프론트엔드', ' DBA', ' 반응형웹 ']"
정규직 개발(Dev) 엔지니어 채용,(주)디딤기술,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43880476&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,~ 10/29(토),"['경력3년↑', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' SI개발', ' 솔루션', ' API ']"
[주4.5일근무] JAVA개발자 직무 채용,(주)모비위드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44050074&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/22(토),"['경력 6~15년', '학력무관']","['CISO', ' API', ' Java', ' JPA', ' OSS ']"
[베스텔라랩] 영상분석 개발자,(주)베스텔라랩,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44122418&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 5~10년', '초대졸↑']","['데이터분석가', ' 백엔드/서버개발', ' 웹개발', ' SE(시스템엔지니어)', ' 딥러닝 ']"
[베스텔라랩] 서버/백엔드 개발자,(주)베스텔라랩,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44122271&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 2~10년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' ECMAScript ']"
개발자 경력직 채용,(주)에이티지,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44131417&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,~ 11/03(목),"['신입·경력', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' SI개발', ' ETL', ' RDBMS ']"
[코리아소프트] Java 개발자 채용,코리아소프트(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44146215&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,인천 부평구 ,~ 11/05(토),"['경력1년↑', '학력무관']","['웹개발', ' Java', ' API', ' SOA', ' Windows ']"
풀스택 개발자,(주)파인더스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42766496&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 1~4년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 퍼블리셔', ' 프론트엔드', ' SE(시스템엔지니어) ']"
[WATA Inc] 개발 총괄 및 시스템 설계,(주)와따,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40755993&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 10~20년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' 인프라', ' AWS ']"
[병역특례 전문연구원] WATA Inc 프론트엔드 개발자 모집,(주)와따,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40736044&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 1~5년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' 인프라', ' AWS ']"
[WATA Inc] 리더 백엔드 개발자 모집,(주)와따,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40755969&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 7~20년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' SE(시스템엔지니어)', ' 인프라 ']"
[WATA Inc] GIS 풀스택 개발자 모집,(주)와따,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40917082&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 5~18년', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 퍼블리셔', ' 프론트엔드', ' C++ ']"
[병역특례전문연구원] WATA Inc 백엔드 개발자 모집,(주)와따,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40755923&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['신입·경력', '석사↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' 인프라', ' AWS ']"
[박차컴퍼니/판교] 서버 개발자 모집,(주)박차컴퍼니,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43834558&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,~ 10/23(일),"['경력 3~5년', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' SE(시스템엔지니어)', ' Ajax ']"
[WATA Inc] 프론트엔드 개발직군 모집,(주)와따,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40755942&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 5~20년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' 인프라', ' AWS ']"
APP개발자(Chaevi 앱 고도화 및 유지보수) 경력 채용,대영채비(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43121755&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~5년', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' C# ']"
(주)잉클 채용 - 백엔드 서버 개발자,(주)잉클,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43979432&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 안산시 상록구 ,~ 10/14(금),"['경력무관', '대졸↑']","['백엔드/서버개발', ' 빅데이터', ' 인프라', ' API', ' DevOps ']"
서버 개발자 채용,(주)현성,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44015803&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 수정구 ,채용시,"['경력', '학력무관']","['백엔드/서버개발', ' 프론트엔드', ' SQL', ' 유지보수', ' Windows ']"
[세탁특공대] Node.js Engineer(Back-end) 엔지니어,(주)워시스왓,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44024053&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/20(목),"['경력1년↑', '학력무관']","['기술지원', ' 백엔드/서버개발', ' 웹개발', ' AWS', ' Git ']"
[박차컴퍼니/남양주] 서버 개발자 모집,(주)박차컴퍼니,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43834594&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 남양주시 ,~ 10/23(일),"['경력 3~5년', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' SE(시스템엔지니어)', ' Ajax ']"
'라이브쇼핑&중고마켓' Android 앱 고도화 작업 전문개발자,(주)올라이브코리아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42303652&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 5~20년', '학력무관']","['앱개발', ' 웹개발', ' Android', ' C++', ' C언어 ']"
뷰넥스와 함께하실 SW개발자를 모집합니다.,(주)뷰넥스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44024181&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 파주시 ,~ 10/20(목),"['경력5년↑', '초대졸↑']","['프론트엔드', ' S/W', ' RestAPI', ' API', ' RDBMS ']"
SI 프로젝트 PL (챗봇 기획 경력),(주)스카우트플랜,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44116550&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,~ 10/14(금),"['경력8년↑', '학력무관']","['솔루션', ' 챗봇', ' Java', ' Javascript', ' Node.js ']"
솔루션개발 및 구축(ELK 스택/ 오픈소스 경력),(주)스카우트플랜,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44116568&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,~ 10/14(금),"['경력5년↑', '학력무관']","['솔루션', ' 챗봇', ' Java', ' Javascript', ' Node.js ']"
서버 백앤드 개발자,(주)시냅틱웨이브,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44139654&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 안양시 동안구 ,~ 11/04(금),"['경력무관', '학력무관']","['백엔드/서버개발', ' AWS', ' API', ' Nginx', ' Docker ']"
코스피상장사 대기업 플랫폼개발팀 대리급 경력직,주식회사 커리어포커스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44185299&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,~ 10/27(목),"['경력 4~9년', '대졸↑']","['머신러닝', ' 빅데이터', ' 클라우드', ' Java', ' Spring ']"
JAVA 웹 개발자 채용 [경력],(주)에피넷,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43776728&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 안양시 동안구 ,~ 10/16(일),"['경력 3~10년', '학력무관']","['웹개발', ' HTML', ' Java', ' 유지보수', ' Git ']"
웹 개발 경력/신입 채용 공고,(주)라온메디,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43791539&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,채용시,"['신입·경력', '대졸↑']","['웹개발', ' Angular', ' CSS', ' HTML', ' Javascript ']"
[플랫폼 운영개발ㅣ경력부문] 물류 자동화시스템 개발 및 운영자,(주)로지스밸리,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43892279&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,~ 10/31(월),"['경력 3~7년', '대졸↑']","['기술지원', ' 백엔드/서버개발', ' 앱개발', ' 웹개발', ' DBA ']"
기술연구소 직무별 공개 채용,곳간로지스(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43891728&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 하남시 ,~ 10/31(월),"['경력 1~7년', '대졸↑']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 프론트엔드', ' Android ']"
백엔드 개발자 채용,(주)비밀리,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43538723&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,상시채용,"['경력 3~15년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
[강남/브랜드의류 가격비교플랫폼] 개발자 대리과장급 채용,(주)탑앤스카우트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44082178&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기전체 ,오늘마감,"['경력5년↑', '대졸↑']","['백엔드/서버개발', ' AWS', ' Flutter', ' Java', ' MySQL ']"
유명 식품대기업 물류 시스템 기획 경력사원,커리어커넥트(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44094745&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 용인시 기흥구 ,내일마감,"['경력 7~15년', '대졸↑']","['SE(시스템엔지니어)', ' 인프라', ' 시스템설계', ' 물류관리', ' 물류기획 ']"
[경력] 서버운영 엔지니어 및 백엔드 개발자 채용,(주)비밀리,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44101106&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5506691-97ac-4154-8854-a6b81e8244ac,경기 성남시 분당구 ,~ 10/31(월),"['경력 3~15년', '학력무관']","['백엔드/서버개발', ' 앱개발', ' AWS', ' Git', ' HTML ']"
백엔드 개발자 - 의료 빅데이터 IT기업 / IPO준비,(주)제이앤씨에이치알,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44103944&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5616484-d387-489f-ab44-d45e70d81c7a,경기 성남시 분당구 ,~ 10/30(일),"['경력2년↑', '대졸↑']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' AWS', ' Docker ']"
웹 기반의 플랫폼 구축 경험 6년 이상/Java/세계적인 게임사,(주)에이치알비즈코리아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44114789&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=d5616484-d387-489f-ab44-d45e70d81c7a,경기 성남시 분당구 ,~ 10/16(일),"['경력 6~13년', '대졸↑']","['웹개발', ' 프론트엔드', ' Java', ' jQuery', ' React ']"
